step,reward
55,-293.764
185,-365.17300000000034
300,-221.78299999999993
360,-324.896
422,-302.1859999999999
506,-353.76099999999997
573,-548.6690000000001
643,-750.5269999999998
748,-795.5039999999998
815,-309.76500000000004
934,-639.2249999999999
1045,-540.7989999999998
1132,-970.775
1284,469.58799999999997
1369,-1380.1570000000002
1471,-3.9850000000000136
1601,-491.07799999999975
1699,-76.50099999999989
1805,-738.7909999999999
1865,-197.28200000000007
1989,-292.38999999999976
2128,-169.88900000000004
2243,-633.8260000000001
2319,-1108.71
2388,-17.24500000000002
2520,-534.5000000000001
2627,-1062.9539999999997
2714,-1148.69
2799,-1528.823
2916,-332.5279999999996
3046,-602.3650000000001
3160,-780.994
3260,-1146.156
3385,-337.31899999999985
3511,-335.26000000000005
3638,-560.1259999999999
3799,-593.5709999999996
3904,-934.5569999999999
4024,-758.8879999999997
4149,-391.70099999999996
4265,-832.1619999999996
4403,-347.22399999999993
4526,-840.126
4655,-196.217
4779,-598.8530000000002
4907,-796.3409999999997
5025,-860.2650000000001
5130,-789.873
5283,-539.1799999999998
5414,-349.93399999999997
5518,-662.3169999999999
5622,-639.8640000000001
5737,-545.1289999999999
5888,-253.17499999999998
6022,-331.52700000000004
6159,-711.3089999999999
6313,169.8469999999998
6463,-436.29899999999975
6581,-596.8500000000001
6703,-665.4119999999998
6831,-585.2190000000002
6930,-980.3879999999999
7055,-519.564
7173,-897.6089999999999
7296,-605.7430000000002
7428,-438.995
7532,-1054.9419999999998
7634,-937.7160000000002
7747,-861.4239999999998
7887,-752.9169999999997
7983,-902.9949999999999
8117,-761.0690000000001
8238,-773.025
8354,-832.9909999999998
8490,-842.9769999999999
8614,-743.827
8745,-821.74
8860,-996.6019999999999
9029,-757.8130000000001
9160,-982.554
9299,-835.5669999999999
9452,-544.224
9575,-922.0619999999999
9689,-646.877
9787,-1368.2579999999996
9884,-1443.8699999999997
10001,-829.589
10119,-632.333
10267,-988.7790000000002
10384,-1097.3
10522,-979.0369999999998
10653,-488.64899999999994
10757,-1046.99
10904,-563.705
11018,-1168.6389999999997
11165,-819.6860000000001
11275,-1126.529
11407,-1085.5340000000003
11541,-964.1240000000001
11657,-1113.411
11789,-1242.9179999999997
11934,-962.4449999999998
12075,-1047.4339999999997
12192,-1050.7769999999998
12328,-484.68799999999993
12441,-792.6009999999999
12559,-854.37
12680,-1050.0649999999998
12822,-792.869
12957,-990.7150000000004
13105,-809.1379999999997
13311,-181.6920000000001
13462,-807.8530000000004
13606,-856.8720000000002
13736,-762.1289999999997
13885,-698.9439999999998
14020,-599.8790000000001
14154,-750.9499999999999
14309,-1019.0369999999998
14438,-713.9199999999998
14611,-259.133
14726,-1336.6110000000003
14862,-493.265
15028,-868.018
15180,-968.9979999999998
15316,-1047.9759999999999
15462,-1080.403
15622,-761.3039999999999
15769,-705.198
15902,-1085.8909999999998
16049,-724.4899999999999
16187,-709.5480000000002
16346,-931.094
16502,-824.0520000000002
16618,-995.2699999999999
16737,-741.9920000000002
16897,-679.9000000000001
17051,-549.7600000000001
17203,-936.297
17321,-649.4509999999998
17419,-1157.9919999999995
17596,-682.408
17759,-978.5020000000003
17913,-730.3820000000001
18049,-1124.923
18179,-759.5109999999999
18337,-859.239
18472,-973.7179999999996
18620,-770.0039999999998
18791,-791.0530000000002
18961,-897.7589999999998
19102,-1179.1850000000002
19280,-630.3310000000001
19403,-1126.5649999999996
19540,-891.1469999999997
19675,-868.628
19795,-640.7770000000002
19892,-1200.452
20029,-763.3310000000001
20156,-896.002
20291,-1021.264
20438,-1080.2389999999998
20553,-1008.1200000000001
20694,-545.1509999999997
20827,-643.238
20959,-825.8380000000002
21101,-871.389
21253,-788.4750000000001
21402,-602.2620000000001
21549,-854.8449999999999
21724,-532.333
21882,-786.776
22012,-1163.2579999999998
22139,-1058.104
22284,-692.4689999999999
22401,-958.7090000000001
22515,-883.947
22672,-727.8410000000001
22813,-875.159
22981,-836.338
23112,-927.4759999999998
23228,-967.3180000000001
23346,-978.4819999999999
23504,-763.0480000000001
23676,-357.56500000000005
23810,-613.4840000000002
24006,-894.052
24129,-931.8689999999998
24297,-845.7680000000001
24440,-551.4870000000001
24559,-977.456
24688,-804.781
24807,-1067.0639999999999
24949,-983.053
25153,-568.9230000000002
25305,-607.855
25438,-735.6709999999997
25552,-1005.236
25702,-774.453
25813,-881.5780000000001
