step,episode,return,loss,epsilon,eval_cost_per_order
86,0,-122.73600000000008,14.779643058776855,0.999183,nan
177,1,-111.36799999999997,15.503900527954102,0.9983185,nan
273,2,27.154999999999816,21.272293090820312,0.9974065,nan
369,3,-386.80199999999996,27.666324615478516,0.9964945,nan
438,4,-152.36400000000015,45.842369079589844,0.995839,nan
546,5,-872.5049999999999,66.50364685058594,0.994813,nan
624,6,-166.70699999999997,75.85853576660156,0.994072,nan
739,7,214.6389999999999,118.90326690673828,0.9929795,nan
848,8,-446.4990000000001,191.657470703125,0.991944,nan
951,9,159.35700000000023,195.73348999023438,0.9909655,nan
1011,10,-382.15399999999994,248.09986877441406,0.9903955,nan
1086,11,-367.03099999999995,223.80133056640625,0.989683,nan
1186,12,-9.571999999999917,267.84149169921875,0.988733,nan
1284,13,-288.7020000000001,341.24578857421875,0.987802,nan
1358,14,-67.81700000000018,386.4957275390625,0.987099,nan
1411,15,-337.951,593.5595703125,0.9865955,nan
1473,16,-583.471,505.764892578125,0.9860065,nan
1564,17,-535.0910000000001,486.1938781738281,0.985142,nan
1623,18,-229.10099999999994,602.6907348632812,0.9845815,nan
1687,19,-17.783999999999992,551.9729614257812,0.9839735000000001,nan
1761,20,-349.524,717.0091552734375,0.9832705,nan
1829,21,-385.12800000000004,689.8071899414062,0.9826245,nan
1900,22,62.5769999999997,737.99853515625,0.98195,nan
2005,23,-28.578999999999866,692.1426391601562,0.9809525,nan
2064,24,-400.97300000000007,667.6918334960938,0.980392,nan
2132,25,-11.773000000000081,594.951171875,0.979746,nan
2243,26,-584.45,712.1199951171875,0.9786915,nan
2321,27,-112.0810000000001,789.3616333007812,0.9779505,nan
2391,28,-147.56100000000004,454.77801513671875,0.9772855,nan
2449,29,-148.22499999999994,475.58758544921875,0.9767345,nan
2553,30,-159.2109999999999,864.2501831054688,0.9757465,nan
2615,31,-218.84800000000007,497.68017578125,0.9751575,nan
2689,32,-969.1859999999999,682.2628173828125,0.9744545,nan
2758,33,-50.79800000000003,1211.398681640625,0.973799,nan
2840,34,-385.13700000000006,1021.80517578125,0.97302,nan
2907,35,-391.9480000000001,1026.8477783203125,0.9723835,nan
3004,36,-543.2209999999999,742.9122924804688,0.971462,nan
3054,37,-189.138,857.4695434570312,0.970987,nan
3101,38,-395.3810000000001,1615.7779541015625,0.9705405,nan
3190,39,-14.598000000000127,1445.3577880859375,0.969695,nan
3277,40,-311.8280000000002,812.2042846679688,0.9688685,nan
3328,41,-30.254000000000126,824.1637573242188,0.968384,nan
3375,42,-225.76100000000005,711.9815673828125,0.9679375,nan
3478,43,-419.125,1014.2660522460938,0.966959,nan
3556,44,-155.88299999999992,884.8062744140625,0.966218,nan
3674,45,178.0780000000001,1067.1485595703125,0.965097,nan
3728,46,15.694999999999894,993.0402221679688,0.964584,nan
3835,47,-781.5399999999998,732.5906372070312,0.9635675,nan
3909,48,-354.11300000000006,897.8309326171875,0.9628645,nan
4001,49,-403.87900000000013,1544.9423828125,0.9619905,nan
4080,50,-263.63599999999997,1238.156494140625,0.96124,nan
4162,51,50.03999999999994,1227.7005615234375,0.960461,nan
4234,52,-352.39200000000005,1009.7719116210938,0.959777,nan
4289,53,-299.7470000000001,958.2304077148438,0.9592545,nan
4382,54,-682.142,819.4478759765625,0.958371,nan
4455,55,-438.023,866.9471435546875,0.9576775,nan
4511,56,-174.24799999999996,1670.505126953125,0.9571455,nan
4574,57,-136.73399999999992,1500.832763671875,0.956547,nan
4666,58,111.07899999999992,968.00146484375,0.955673,nan
4776,59,-397.7930000000001,839.7240600585938,0.954628,nan
4849,60,-62.55199999999999,2599.249755859375,0.9539345,nan
4921,61,-251.278,1309.02099609375,0.9532505,nan
4970,62,-231.71999999999994,1343.832275390625,0.952785,nan
5035,63,-485.029,1302.39892578125,0.9521675,nan
5122,64,19.028999999999968,1197.22607421875,0.951341,nan
5205,65,-415.7449999999999,1978.6060791015625,0.9505525,nan
5307,66,-597.4139999999999,1587.7569580078125,0.9495835,nan
5388,67,-277.592,1685.804931640625,0.948814,nan
5469,68,7.220999999999833,1424.0848388671875,0.9480445,nan
5551,69,-390.803,1733.9833984375,0.9472655,nan
5615,70,-136.00999999999988,1356.099365234375,0.9466575,nan
5677,71,-190.49200000000002,1749.0546875,0.9460685,nan
5748,72,-322.6,2607.630126953125,0.945394,nan
5843,73,-100.20099999999996,1865.336669921875,0.9444915,nan
5927,74,-530.4339999999999,1642.768310546875,0.9436935,nan
5998,75,-323.3580000000001,2462.346435546875,0.943019,nan
6052,76,-284.47799999999995,1907.5020751953125,0.942506,nan
6140,77,-230.78100000000006,2334.390625,0.94167,nan
6210,78,-40.33500000000008,2032.0501708984375,0.941005,nan
6272,79,-194.58799999999997,3059.005859375,0.940416,nan
6367,80,241.31399999999985,2369.2666015625,0.9395135,nan
6436,81,-361.28499999999997,3660.397705078125,0.938858,nan
6492,82,-271.6940000000001,2195.99169921875,0.938326,nan
6551,83,-255.61699999999993,1537.951416015625,0.9377655,nan
6668,84,31.466999999999942,1609.887939453125,0.936654,nan
6747,85,-123.38200000000006,2606.727783203125,0.9359035,nan
6832,86,-99.56600000000003,2290.923095703125,0.935096,nan
6896,87,-142.88800000000015,3775.76953125,0.934488,nan
6944,88,-522.178,2315.364501953125,0.934032,nan
7042,89,-8.82600000000005,5531.18994140625,0.933101,nan
7127,90,-165.75700000000003,1950.889404296875,0.9322935,nan
7186,91,-324.71900000000005,3278.222900390625,0.931733,nan
7269,92,-459.78899999999993,4009.39794921875,0.9309445,nan
7340,93,-148.68800000000005,2916.58837890625,0.93027,nan
7402,94,-205.317,3150.13525390625,0.929681,nan
7472,95,-220.07499999999996,2226.6865234375,0.9290160000000001,nan
7531,96,-325.9580000000001,2839.24267578125,0.9284555,nan
7619,97,85.15200000000002,3650.183837890625,0.9276195,nan
7684,98,-246.61399999999995,1963.28076171875,0.927002,nan
7733,99,-149.658,3645.658935546875,0.9265365,nan
7814,100,-364.3810000000001,1865.6395263671875,0.925767,nan
7860,101,-333.681,4319.1904296875,0.92533,nan
7946,102,-11.047999999999831,3873.479736328125,0.924513,nan
8012,103,-380.5690000000001,4490.0439453125,0.923886,nan
8078,104,-160.93200000000007,4342.73291015625,0.923259,nan
8191,105,-155.20899999999992,3683.45849609375,0.9221855,nan
8283,106,-124.60999999999993,3108.62109375,0.9213115000000001,nan
8338,107,-380.09800000000007,3264.5634765625,0.920789,nan
8436,108,-15.41400000000013,3954.748779296875,0.919858,nan
8522,109,-480.0489999999999,2909.578369140625,0.919041,nan
8604,110,-384.8539999999999,2584.1875,0.918262,nan
8656,111,-129.78499999999997,4432.96923828125,0.917768,nan
8725,112,-236.245,3711.397705078125,0.9171125,nan
8780,113,80.09900000000005,4604.5830078125,0.91659,nan
8845,114,-429.89799999999997,5349.48291015625,0.9159725,nan
8906,115,-288.448,6523.8193359375,0.915393,nan
