step,episode,return,policy_loss,value_loss,entropy,eval_cost_per_order
68,0,-202.34,-215.29678344726562,101.03778076171875,2.156731605529785,nan
152,1,-369.32399999999996,-1078.0113525390625,333.21099853515625,3.256906747817993,nan
193,2,-196.87700000000004,-201.34043884277344,64.63101196289062,3.089719295501709,nan
281,3,-401.9530000000001,-1051.50341796875,355.1298522949219,2.991220712661743,nan
344,4,-380.1569999999999,-700.4905395507812,222.3589324951172,3.0875985622406006,nan
450,5,-412.799,-650.6970825195312,219.98919677734375,2.9148266315460205,nan
550,6,-522.4949999999998,-1223.657470703125,416.80450439453125,2.9017863273620605,nan
627,7,-78.99000000000001,-568.4859619140625,210.1387176513672,2.672722339630127,nan
702,8,-280.033,-971.1965942382812,329.3235778808594,2.9729199409484863,nan
764,9,-238.62700000000007,-610.2828369140625,201.95721435546875,3.012040615081787,nan
843,10,-556.283,-805.1482543945312,304.3797607421875,2.640986680984497,nan
922,11,-196.06500000000017,-919.9340209960938,307.9577331542969,2.9226109981536865,nan
1026,12,66.54199999999997,-548.9261474609375,177.61546325683594,3.0849177837371826,nan
1082,13,-226.46900000000005,-588.466064453125,218.69764709472656,2.689629554748535,nan
1160,14,-172.34800000000013,-721.1062622070312,266.50982666015625,2.72189998626709,nan
1210,15,-93.11999999999993,-636.7821044921875,263.15606689453125,2.4172778129577637,nan
1271,16,-185.45499999999993,-140.6141357421875,49.77241516113281,3.080306053161621,nan
1345,17,35.94199999999984,-437.597900390625,149.85397338867188,2.9197518825531006,nan
1422,18,1.9719999999998947,-385.97296142578125,158.74444580078125,2.2996249198913574,nan
1471,19,-351.415,-708.1595458984375,262.115234375,2.7227487564086914,nan
1539,20,-34.50799999999998,-590.470458984375,226.6041717529297,2.5920448303222656,nan
1615,21,-348.24000000000007,-756.4994506835938,300.70574951171875,2.552682399749756,nan
1660,22,-164.70199999999994,-511.76904296875,209.06063842773438,2.4917869567871094,nan
1734,23,-623.768,-983.4147338867188,359.9112243652344,2.6782822608947754,nan
1827,24,-216.02499999999998,-936.5993041992188,300.0896301269531,3.000976800918579,nan
1923,25,-57.579999999999984,-725.025146484375,258.1116943359375,2.8308186531066895,nan
1995,26,-183.4400000000001,-884.0740356445312,329.7424011230469,2.774756669998169,nan
2071,27,-252.31800000000004,-1003.9089965820312,361.0541687011719,2.6356170177459717,nan
2131,28,-145.13299999999992,-527.1571044921875,219.8292694091797,2.405365467071533,nan
2197,29,-121.88999999999999,-627.4234008789062,223.14654541015625,2.8951921463012695,nan
2307,30,177.61399999999986,-649.2068481445312,250.6647491455078,2.642975330352783,nan
2378,31,-667.4200000000001,-646.8438110351562,240.53578186035156,2.5794107913970947,nan
2452,32,12.427000000000035,-565.39306640625,209.9382781982422,2.579831600189209,nan
2511,33,-190.7040000000001,-688.0203247070312,247.865234375,2.650927782058716,nan
2565,34,-226.00699999999995,-734.8414306640625,286.55987548828125,2.6500966548919678,nan
2630,35,-308.78499999999997,-736.5042114257812,244.4225311279297,2.9763145446777344,nan
2707,36,-533.361,-938.2440795898438,360.189208984375,2.6841297149658203,nan
2781,37,-402.96700000000004,-1067.1343994140625,358.93206787109375,2.946779727935791,nan
2848,38,-257.6459999999999,-466.614990234375,164.64501953125,2.894397258758545,nan
2957,39,42.024000000000115,-670.2540283203125,237.6951446533203,2.8646345138549805,nan
3002,40,-211.443,-685.9178466796875,245.12179565429688,2.823819875717163,nan
3048,41,-250.00600000000009,-457.0356750488281,154.5045166015625,2.859670639038086,nan
3125,42,-402.22,-862.8977661132812,351.266845703125,2.6141741275787354,nan
3197,43,83.40300000000002,-490.6003112792969,202.74632263183594,2.4444363117218018,nan
3246,44,-226.608,-817.7261962890625,293.0816650390625,2.700572967529297,nan
3320,45,-195.5730000000001,-700.2561645507812,260.9797668457031,2.7918221950531006,nan
3396,46,-171.59500000000014,-423.7605895996094,170.7041015625,2.5218281745910645,nan
3461,47,-79.57299999999998,-877.1151123046875,282.5772705078125,3.127371311187744,nan
3530,48,-177.11300000000008,-655.473388671875,235.43536376953125,2.832068681716919,nan
3585,49,-242.21400000000006,-784.0069580078125,297.2832946777344,2.56561541557312,nan
3674,50,85.48300000000016,-661.390380859375,255.35748291015625,2.4860284328460693,nan
3738,51,-4.459999999999965,-416.21954345703125,165.20071411132812,2.714883804321289,nan
3802,52,42.27499999999989,-321.1297912597656,127.55292510986328,2.6300532817840576,nan
3872,53,-109.71299999999984,-758.7467041015625,267.58721923828125,2.8062479496002197,nan
3954,54,-100.71900000000015,-456.6405944824219,151.57778930664062,3.0485053062438965,nan
4008,55,-151.166,-445.972412109375,178.3466339111328,2.520277738571167,nan
4059,56,-181.66299999999993,-517.3348999023438,211.9629364013672,2.470048427581787,nan
4121,57,-418.2280000000001,-355.23931884765625,132.16041564941406,2.8840184211730957,nan
4181,58,-66.11800000000002,-337.86627197265625,154.8650360107422,2.187166690826416,nan
4238,59,-80.604,-516.7568359375,214.0328369140625,2.411330223083496,nan
4294,60,-466.6050000000001,-1053.8387451171875,400.4960021972656,2.581958293914795,nan
4346,61,-95.44600000000004,-298.8894958496094,177.7833251953125,1.9250664710998535,nan
4407,62,-88.82399999999996,-290.2221374511719,96.35660552978516,2.778980255126953,nan
4454,63,-109.21199999999997,-564.2045288085938,229.9170379638672,2.4129581451416016,nan
4522,64,-145.35699999999997,-812.0569458007812,276.3809814453125,2.932086944580078,nan
4577,65,-110.16700000000006,-419.5677795410156,176.02146911621094,2.47275447845459,nan
4636,66,-174.08399999999997,-529.682373046875,274.9410705566406,1.8672298192977905,nan
4713,67,153.42400000000004,-276.5393981933594,143.5284881591797,1.8730388879776,nan
4782,68,37.16000000000008,-597.003662109375,224.21875,2.489598274230957,nan
4854,69,-140.74299999999997,-537.96923828125,230.6083221435547,2.473989248275757,nan
4900,70,-202.48099999999994,-401.1523742675781,169.257080078125,2.3839595317840576,nan
4963,71,-248.3449999999999,-678.8335571289062,270.4751281738281,2.816298246383667,nan
5032,72,55.82599999999999,-518.9457397460938,211.21678161621094,2.6834359169006348,nan
5110,73,15.53499999999977,-448.8763427734375,223.69261169433594,1.9935907125473022,nan
5170,74,-106.21400000000003,-629.1932373046875,238.16586303710938,2.6574692726135254,nan
5246,75,-145.61799999999988,-657.1526489257812,256.8410339355469,2.5449869632720947,nan
5341,76,228.27299999999968,-423.0113830566406,178.0348358154297,2.4081971645355225,nan
5419,77,-410.74699999999996,-1006.3441772460938,375.7754821777344,2.6064658164978027,nan
5460,78,-311.5,-401.9886474609375,187.37652587890625,2.645338296890259,nan
5514,79,-86.68,-376.4980773925781,192.46334838867188,2.0950355529785156,nan
5586,80,-169.2980000000001,-709.761962890625,254.3469696044922,2.8333187103271484,nan
5660,81,-213.4720000000002,-884.9235229492188,334.5243835449219,2.7771952152252197,nan
5724,82,-87.71599999999991,-653.3294067382812,207.2638702392578,2.9955990314483643,nan
5788,83,-71.28500000000011,-208.87637329101562,99.01475524902344,2.608397960662842,nan
5856,84,-168.30600000000004,-441.62518310546875,186.03538513183594,2.4806628227233887,nan
5926,85,-357.154,-851.4845581054688,321.0793762207031,2.776566982269287,nan
5984,86,-170.10699999999994,-477.1901550292969,255.62649536132812,1.9718093872070312,nan
6038,87,-24.628000000000057,-459.4454650878906,199.40101623535156,2.214998483657837,nan
6099,88,-524.163,-114.22429656982422,51.616146087646484,2.64744234085083,nan
6176,89,-221.5250000000001,-682.4669189453125,315.9758605957031,2.1914234161376953,nan
6236,90,50.006,-311.2987976074219,120.7426986694336,2.329866409301758,nan
6297,91,-153.87800000000004,-97.42832946777344,51.75972366333008,2.5320560932159424,nan
6361,92,104.96200000000007,-397.23626708984375,153.46609497070312,2.7805943489074707,nan
6427,93,78.47999999999996,-610.2943115234375,218.02610778808594,2.6469414234161377,nan
6504,94,32.63999999999996,-442.5852966308594,184.4019012451172,2.4244744777679443,nan
6562,95,-137.8,-550.2092895507812,200.924560546875,2.474900484085083,nan
6623,96,-238.22999999999996,-316.2430114746094,116.22767639160156,2.9541940689086914,nan
6707,97,-797.469,-786.1400146484375,280.0247802734375,3.027996301651001,nan
6773,98,-162.52299999999997,-485.3000183105469,187.1911163330078,2.6021387577056885,nan
6839,99,-311.73299999999995,-746.47412109375,267.810791015625,2.8324289321899414,nan
6908,100,-73.68099999999987,-645.169677734375,239.32180786132812,2.8197832107543945,nan
6972,101,-257.42999999999995,-267.44903564453125,94.77949523925781,2.5855612754821777,nan
7037,102,-63.182000000000116,-385.25164794921875,139.744384765625,2.8742284774780273,nan
7090,103,-467.013,-1161.9222412109375,464.9134216308594,2.4763691425323486,nan
7142,104,-39.9520000000001,-387.6943359375,204.87550354003906,2.004744291305542,nan
7199,105,-497.5180000000001,-933.8567504882812,358.5482177734375,2.770484209060669,nan
7302,106,84.34500000000003,-549.0573120117188,190.8614501953125,2.631625175476074,nan
7366,107,-355.12899999999996,-329.19830322265625,109.60813903808594,2.9778902530670166,nan
7419,108,-514.056,-1110.9913330078125,432.39715576171875,2.6449270248413086,nan
7525,109,391.26599999999996,-496.1555480957031,203.01524353027344,2.436283826828003,nan
7581,110,-553.5390000000001,-724.5,284.4569091796875,2.54830002784729,nan
7670,111,-75.42399999999995,-846.5011596679688,277.2969970703125,2.8883988857269287,nan
7742,112,-203.62000000000006,-906.2228393554688,346.0673828125,2.740939140319824,nan
7824,113,95.17799999999998,-336.32763671875,119.49081420898438,2.7925829887390137,nan
7892,114,-111.78300000000016,-535.6831665039062,191.59188842773438,2.5538747310638428,nan
7970,115,-314.7520000000002,-769.5091552734375,324.8287353515625,2.623764991760254,nan
8019,116,-154.51700000000002,-403.07421875,235.21676635742188,1.788543462753296,nan
8085,117,8.757000000000076,-360.5829162597656,151.46971130371094,2.5758330821990967,nan
8157,118,15.812000000000126,-521.014404296875,221.39654541015625,2.418666362762451,nan
8216,119,-618.0129999999999,-1006.7223510742188,394.7157287597656,2.6093692779541016,nan
8275,120,-202.98100000000002,-476.5875244140625,260.1369323730469,1.8262332677841187,nan
8341,121,-43.70700000000002,-554.8573608398438,217.84254455566406,2.5858042240142822,nan
8406,122,-395.42499999999995,-919.6800537109375,308.6947937011719,2.8947715759277344,nan
8462,123,-125.35400000000006,-380.38336181640625,265.6429443359375,1.6228244304656982,nan
8543,124,-656.9680000000001,-430.60333251953125,144.13369750976562,2.6910300254821777,nan
8607,125,-156.0810000000001,-757.2595825195312,283.415283203125,2.675819158554077,nan
8663,126,-567.8439999999999,-1049.0364990234375,412.97125244140625,2.622041702270508,nan
8731,127,-205.514,-521.269775390625,224.60838317871094,2.4689536094665527,nan
8788,128,-198.43900000000008,-627.9752807617188,245.74551391601562,2.5837714672088623,nan
8876,129,-299.34199999999987,-997.3794555664062,375.3064880371094,2.5487849712371826,nan
8953,130,-300.85400000000004,-742.6527099609375,353.85333251953125,2.21740984916687,nan
9020,131,-309.976,-795.1693115234375,259.1347351074219,2.8703975677490234,nan
9074,132,-99.57299999999996,-439.7906799316406,237.3121337890625,1.9285964965820312,nan
9137,133,-436.18900000000014,-568.5165405273438,211.6318359375,2.675808906555176,nan
9184,134,-199.139,-437.3713684082031,185.14064025878906,2.599193572998047,nan
9250,135,-366.44900000000007,-742.2610473632812,277.3069763183594,2.672938346862793,nan
9287,136,-99.62600000000003,-441.350830078125,205.56431579589844,1.8040639162063599,nan
9356,137,-135.955,-477.3742370605469,212.10731506347656,2.314208745956421,nan
9410,138,-189.91899999999993,-407.86920166015625,252.3072509765625,1.7001575231552124,nan
9470,139,-402.73300000000006,-963.0524291992188,390.7965393066406,2.4700896739959717,nan
9522,140,-84.846,-471.0365295410156,273.5565490722656,1.620324969291687,nan
9587,141,48.27199999999996,-300.5566711425781,183.81643676757812,2.1269431114196777,nan
9643,142,-282.777,-498.0268859863281,228.5123291015625,2.312826156616211,nan
9687,143,-159.13700000000003,-658.5791015625,254.79519653320312,2.6762051582336426,nan
9774,144,-149.54899999999972,-539.9962768554688,220.47848510742188,2.362171173095703,nan
9846,145,-73.13900000000007,-712.2695922851562,256.5068359375,2.538898229598999,nan
9898,146,-139.20600000000002,-583.8009033203125,242.8221435546875,2.376187324523926,nan
9959,147,-516.74,-134.9356689453125,54.52768325805664,2.9281578063964844,nan
10000,148,288.6,98.39310455322266,83.46320343017578,1.081885576248169,35.37308695652173
10019,148,-411.49,-620.9696044921875,333.2579345703125,1.9169604778289795,nan
10075,149,-365.002,-772.6959228515625,320.138916015625,2.4780614376068115,nan
10138,150,-1157.175,-561.177734375,168.0441436767578,2.7796192169189453,nan
10202,151,-41.35400000000001,-668.5298461914062,208.3689727783203,2.5503549575805664,nan
10254,152,-124.35500000000005,-519.0375366210938,259.83819580078125,2.241471290588379,nan
10311,153,-76.28899999999999,-359.61407470703125,177.74856567382812,2.1995303630828857,nan
10366,154,-130.42500000000007,-391.1474609375,229.7027130126953,1.6889022588729858,nan
10431,155,-278.1480000000001,-810.6549072265625,274.5553894042969,2.523008108139038,nan
10488,156,-146.23700000000005,-498.6279296875,195.3214111328125,2.4129085540771484,nan
10542,157,-603.035,-802.9554443359375,350.60943603515625,2.493213415145874,nan
10588,158,-355.4040000000001,-639.1703491210938,278.7059631347656,2.5409276485443115,nan
10640,159,-733.2270000000001,-1179.35302734375,508.6535949707031,2.142965793609619,nan
10719,160,-101.05699999999989,-462.99810791015625,234.5111083984375,2.078486680984497,nan
10773,161,-270.39199999999994,-618.3394775390625,247.77232360839844,2.215904712677002,nan
10836,162,-17.852000000000118,-559.7692260742188,188.91285705566406,2.462782621383667,nan
10914,163,19.508999999999943,-319.89617919921875,167.42092895507812,1.9969888925552368,nan
10961,164,-214.0160000000001,-900.7264404296875,316.2759704589844,2.364013671875,nan
11015,165,-229.08799999999997,-618.7864990234375,311.6069641113281,1.485725998878479,nan
11061,166,-23.17800000000001,-584.875732421875,217.5428009033203,2.1111507415771484,nan
11104,167,-804.8890000000001,-846.4177856445312,295.2986755371094,2.744473457336426,nan
11159,168,-544.0880000000001,-632.7167358398438,347.0798645019531,2.248760223388672,nan
11223,169,-666.256,-705.5020751953125,305.69805908203125,2.301792860031128,nan
11293,170,-129.38099999999997,-852.2078247070312,316.1225891113281,2.222376823425293,nan
11371,171,-227.61899999999997,-379.815673828125,254.4778594970703,1.759485125541687,nan
11414,172,-519.9370000000001,-713.2345581054688,286.7055969238281,2.2987234592437744,nan
11481,173,-342.18099999999987,-377.1221008300781,201.23556518554688,1.9029436111450195,nan
11553,174,-70.05300000000004,-439.6005859375,216.9511260986328,1.815518856048584,nan
11633,175,-221.75199999999995,-408.78961181640625,227.15316772460938,2.1787984371185303,nan
