step,episode,return,loss,epsilon,eval_cost_per_order
67,0,-144.842,9.666439056396484,0.9993635,nan
142,1,-339.14400000000006,9.053586959838867,0.998651,nan
211,2,-517.4820000000001,15.346446990966797,0.9979955,nan
301,3,-198.9690000000001,16.502134323120117,0.9971405,nan
365,4,-628.541,28.81500244140625,0.9965325,nan
449,5,10.815000000000154,66.38389587402344,0.9957345,nan
512,6,-217.117,73.66184997558594,0.995136,nan
593,7,-212.924,100.30406188964844,0.9943665,nan
652,8,-369.17600000000004,127.92788696289062,0.993806,nan
726,9,-317.76300000000003,156.81884765625,0.993103,nan
806,10,117.34400000000008,146.68907165527344,0.992343,nan
885,11,-297.81100000000015,278.3470458984375,0.9915925,nan
1000,12,-224.85800000000006,254.26821899414062,0.9905,nan
1083,13,-70.01499999999999,354.1678466796875,0.9897115,nan
1159,14,-49.17500000000001,444.9185791015625,0.9889895,nan
1258,15,159.52300000000002,250.97120666503906,0.988049,nan
1330,16,-53.51700000000006,449.30999755859375,0.987365,nan
1403,17,-465.2339999999999,320.29559326171875,0.9866715,nan
1500,18,-306.32400000000007,463.7472839355469,0.98575,nan
1573,19,-237.44899999999978,826.5296630859375,0.9850565,nan
1682,20,-358.0570000000001,510.57012939453125,0.984021,nan
1808,21,121.46999999999983,724.0399169921875,0.982824,nan
1897,22,-11.987000000000094,550.8035278320312,0.9819785,nan
2004,23,19.825999999999937,626.82763671875,0.980962,nan
2078,24,-214.421,392.4696044921875,0.980259,nan
2136,25,-388.2290000000001,1172.43896484375,0.979708,nan
2217,26,-221.6479999999999,573.5988159179688,0.9789385,nan
2295,27,82.28099999999986,967.7113037109375,0.9781975,nan
2358,28,-407.683,947.067626953125,0.977599,nan
2490,29,489.86799999999994,767.8489990234375,0.976345,nan
2563,30,-287.734,1032.411865234375,0.9756515,nan
2629,31,-649.0550000000001,1477.198486328125,0.9750245,nan
2703,32,-124.20799999999997,1136.9930419921875,0.9743215,nan
2778,33,39.775999999999954,1195.33984375,0.973609,nan
2880,34,-197.4410000000002,1048.104248046875,0.97264,nan
2971,35,-302.80099999999993,1129.803466796875,0.9717755,nan
3062,36,-42.293000000000006,1208.5548095703125,0.970911,nan
3146,37,-338.4889999999999,1654.8291015625,0.970113,nan
3218,38,-17.61900000000017,1470.5137939453125,0.969429,nan
3275,39,-205.2030000000001,1197.481201171875,0.9688875,nan
3338,40,-23.100999999999956,1525.9752197265625,0.968289,nan
3427,41,-32.47800000000005,1299.3565673828125,0.9674435,nan
3548,42,-669.9080000000001,1461.315185546875,0.966294,nan
3607,43,-69.91999999999996,1324.1851806640625,0.9657335,nan
3659,44,-480.80800000000005,2236.160888671875,0.9652395,nan
3733,45,-618.2760000000001,1481.4481201171875,0.9645365,nan
3797,46,-218.938,2036.228515625,0.9639285,nan
3867,47,-420.5870000000001,1182.825927734375,0.9632635,nan
3989,48,204.91600000000008,2197.365478515625,0.9621045,nan
4064,49,-290.437,2276.04638671875,0.961392,nan
4108,50,-213.41799999999995,1716.8150634765625,0.960974,nan
4165,51,-25.253000000000085,2206.130859375,0.9604325,nan
4210,52,-381.84299999999996,1376.587158203125,0.960005,nan
4272,53,-77.04500000000009,2078.09765625,0.959416,nan
4340,54,-949.9929999999999,1703.0050048828125,0.95877,nan
4417,55,-194.089,2267.833984375,0.9580385,nan
4491,56,-205.18999999999994,1898.7113037109375,0.9573355,nan
4550,57,-178.57999999999998,1865.5816650390625,0.956775,nan
4596,58,-306.382,2424.020263671875,0.956338,nan
4658,59,-182.43800000000005,3111.302978515625,0.955749,nan
4766,60,-343.19199999999995,2280.733642578125,0.954723,nan
4807,61,-363.34000000000003,3077.9580078125,0.9543335,nan
4894,62,-77.14800000000015,1908.1259765625,0.953507,nan
4942,63,-639.4250000000001,3127.804443359375,0.953051,nan
5007,64,-63.958,1676.33349609375,0.9524335,nan
5064,65,-277.92499999999984,1628.8048095703125,0.951892,nan
5124,66,-300.04499999999996,2856.58251953125,0.951322,nan
5187,67,-196.36300000000006,1640.3265380859375,0.9507235,nan
5259,68,-134.89599999999987,3416.931640625,0.9500395,nan
5348,69,-559.5989999999999,5317.21044921875,0.949194,nan
5434,70,-213.361,2553.688720703125,0.948377,nan
5512,71,-312.273,3706.434326171875,0.947636,nan
5593,72,-214.05900000000003,2453.271484375,0.9468665,nan
5678,73,-1096.8439999999998,2718.3447265625,0.946059,nan
5781,74,-248.60499999999988,1987.1864013671875,0.9450805,nan
5840,75,-146.65300000000008,1599.384521484375,0.94452,nan
5912,76,-348.85900000000015,3741.60693359375,0.943836,nan
6004,77,-576.278,3036.8818359375,0.942962,nan
6081,78,-76.45799999999997,4039.3935546875,0.9422305,nan
6142,79,-125.08500000000001,2589.49951171875,0.941651,nan
